date,AVB,isPartial
2016-08-21,42,False
2016-08-28,65,False
2016-09-04,45,False
2016-09-11,57,False
2016-09-18,66,False
2016-09-25,58,False
2016-10-02,71,False
2016-10-09,58,False
2016-10-16,49,False
2016-10-23,58,False
2016-10-30,58,False
2016-11-06,66,False
2016-11-13,56,False
2016-11-20,66,False
2016-11-27,52,False
2016-12-04,60,False
2016-12-11,62,False
2016-12-18,41,False
2016-12-25,42,False
2017-01-01,52,False
2017-01-08,57,False
2017-01-15,53,False
2017-01-22,55,False
2017-01-29,46,False
2017-02-05,77,False
2017-02-12,66,False
2017-02-19,62,False
2017-02-26,76,False
2017-03-05,65,False
2017-03-12,54,False
2017-03-19,73,False
2017-03-26,62,False
2017-04-02,71,False
2017-04-09,43,False
2017-04-16,61,False
2017-04-23,67,False
2017-04-30,62,False
2017-05-07,64,False
2017-05-14,68,False
2017-05-21,60,False
2017-05-28,37,False
2017-06-04,50,False
2017-06-11,64,False
2017-06-18,54,False
2017-06-25,36,False
2017-07-02,50,False
2017-07-09,61,False
2017-07-16,51,False
2017-07-23,69,False
2017-07-30,40,False
2017-08-06,45,False
2017-08-13,59,False
2017-08-20,55,False
2017-08-27,50,False
2017-09-03,58,False
2017-09-10,47,False
2017-09-17,50,False
2017-09-24,57,False
2017-10-01,53,False
2017-10-08,53,False
2017-10-15,47,False
2017-10-22,62,False
2017-10-29,58,False
2017-11-05,56,False
2017-11-12,53,False
2017-11-19,48,False
2017-11-26,44,False
2017-12-03,52,False
2017-12-10,58,False
2017-12-17,57,False
2017-12-24,43,False
2017-12-31,54,False
2018-01-07,53,False
2018-01-14,67,False
2018-01-21,56,False
2018-01-28,53,False
2018-02-04,57,False
2018-02-11,69,False
2018-02-18,60,False
2018-02-25,52,False
2018-03-04,54,False
2018-03-11,67,False
2018-03-18,70,False
2018-03-25,60,False
2018-04-01,60,False
2018-04-08,69,False
2018-04-15,65,False
2018-04-22,73,False
2018-04-29,54,False
2018-05-06,59,False
2018-05-13,54,False
2018-05-20,50,False
2018-05-27,60,False
2018-06-03,48,False
2018-06-10,65,False
2018-06-17,62,False
2018-06-24,57,False
2018-07-01,46,False
2018-07-08,50,False
2018-07-15,64,False
2018-07-22,48,False
2018-07-29,46,False
2018-08-05,53,False
2018-08-12,54,False
2018-08-19,79,False
2018-08-26,67,False
2018-09-02,59,False
2018-09-09,55,False
2018-09-16,44,False
2018-09-23,54,False
2018-09-30,48,False
2018-10-07,47,False
2018-10-14,73,False
2018-10-21,39,False
2018-10-28,35,False
2018-11-04,59,False
2018-11-11,59,False
2018-11-18,49,False
2018-11-25,69,False
2018-12-02,53,False
2018-12-09,55,False
2018-12-16,55,False
2018-12-23,39,False
2018-12-30,35,False
2019-01-06,63,False
2019-01-13,61,False
2019-01-20,50,False
2019-01-27,57,False
2019-02-03,59,False
2019-02-10,67,False
2019-02-17,53,False
2019-02-24,60,False
2019-03-03,58,False
2019-03-10,48,False
2019-03-17,62,False
2019-03-24,55,False
2019-03-31,70,False
2019-04-07,71,False
2019-04-14,55,False
2019-04-21,48,False
2019-04-28,56,False
2019-05-05,57,False
2019-05-12,72,False
2019-05-19,62,False
2019-05-26,69,False
2019-06-02,63,False
2019-06-09,53,False
2019-06-16,66,False
2019-06-23,47,False
2019-06-30,60,False
2019-07-07,54,False
2019-07-14,49,False
2019-07-21,48,False
2019-07-28,58,False
2019-08-04,48,False
2019-08-11,48,False
2019-08-18,50,False
2019-08-25,50,False
2019-09-01,58,False
2019-09-08,60,False
2019-09-15,55,False
2019-09-22,59,False
2019-09-29,58,False
2019-10-06,47,False
2019-10-13,46,False
2019-10-20,57,False
2019-10-27,50,False
2019-11-03,66,False
2019-11-10,59,False
2019-11-17,49,False
2019-11-24,57,False
2019-12-01,59,False
2019-12-08,61,False
2019-12-15,67,False
2019-12-22,55,False
2019-12-29,42,False
2020-01-05,43,False
2020-01-12,58,False
2020-01-19,78,False
2020-01-26,58,False
2020-02-02,70,False
2020-02-09,51,False
2020-02-16,58,False
2020-02-23,61,False
2020-03-01,48,False
2020-03-08,51,False
2020-03-15,49,False
2020-03-22,53,False
2020-03-29,48,False
2020-04-05,63,False
2020-04-12,52,False
2020-04-19,68,False
2020-04-26,52,False
2020-05-03,54,False
2020-05-10,67,False
2020-05-17,56,False
2020-05-24,52,False
2020-05-31,53,False
2020-06-07,45,False
2020-06-14,59,False
2020-06-21,48,False
2020-06-28,61,False
2020-07-05,56,False
2020-07-12,75,False
2020-07-19,61,False
2020-07-26,59,False
2020-08-02,62,False
2020-08-09,44,False
2020-08-16,56,False
2020-08-23,70,False
2020-08-30,54,False
2020-09-06,57,False
2020-09-13,62,False
2020-09-20,68,False
2020-09-27,57,False
2020-10-04,65,False
2020-10-11,57,False
2020-10-18,58,False
2020-10-25,62,False
2020-11-01,58,False
2020-11-08,56,False
2020-11-15,50,False
2020-11-22,73,False
2020-11-29,51,False
2020-12-06,49,False
2020-12-13,50,False
2020-12-20,39,False
2020-12-27,35,False
2021-01-03,50,False
2021-01-10,48,False
2021-01-17,52,False
2021-01-24,66,False
2021-01-31,100,False
2021-02-07,59,False
2021-02-14,52,False
2021-02-21,65,False
2021-02-28,65,False
2021-03-07,59,False
2021-03-14,62,False
2021-03-21,47,False
2021-03-28,45,False
2021-04-04,57,False
2021-04-11,56,False
2021-04-18,53,False
2021-04-25,49,False
2021-05-02,45,False
2021-05-09,56,False
2021-05-16,58,False
2021-05-23,54,False
2021-05-30,48,False
2021-06-06,55,False
2021-06-13,55,False
2021-06-20,54,False
2021-06-27,38,False
2021-07-04,50,False
2021-07-11,45,False
2021-07-18,41,False
2021-07-25,51,False
2021-08-01,62,False
2021-08-08,49,True
