date,DLTR,isPartial
2016-08-21,39,False
2016-08-28,13,False
2016-09-04,13,False
2016-09-11,8,False
2016-09-18,4,False
2016-09-25,24,False
2016-10-02,20,False
2016-10-09,16,False
2016-10-16,8,False
2016-10-23,4,False
2016-10-30,16,False
2016-11-06,8,False
2016-11-13,8,False
2016-11-20,23,False
2016-11-27,8,False
2016-12-04,19,False
2016-12-11,16,False
2016-12-18,25,False
2016-12-25,17,False
2017-01-01,8,False
2017-01-08,4,False
2017-01-15,4,False
2017-01-22,19,False
2017-01-29,18,False
2017-02-05,29,False
2017-02-12,11,False
2017-02-19,22,False
2017-02-26,25,False
2017-03-05,4,False
2017-03-12,21,False
2017-03-19,7,False
2017-03-26,15,False
2017-04-02,4,False
2017-04-09,19,False
2017-04-16,11,False
2017-04-23,7,False
2017-04-30,11,False
2017-05-07,19,False
2017-05-14,19,False
2017-05-21,32,False
2017-05-28,16,False
2017-06-04,15,False
2017-06-11,16,False
2017-06-18,8,False
2017-06-25,16,False
2017-07-02,24,False
2017-07-09,8,False
2017-07-16,28,False
2017-07-23,20,False
2017-07-30,12,False
2017-08-06,11,False
2017-08-13,31,False
2017-08-20,45,False
2017-08-27,15,False
2017-09-03,8,False
2017-09-10,18,False
2017-09-17,7,False
2017-09-24,15,False
2017-10-01,4,False
2017-10-08,15,False
2017-10-15,19,False
2017-10-22,15,False
2017-10-29,7,False
2017-11-05,18,False
2017-11-12,21,False
2017-11-19,58,False
2017-11-26,18,False
2017-12-03,18,False
2017-12-10,22,False
2017-12-17,19,False
2017-12-24,12,False
2017-12-31,38,False
2018-01-07,11,False
2018-01-14,24,False
2018-01-21,14,False
2018-01-28,21,False
2018-02-04,14,False
2018-02-11,17,False
2018-02-18,7,False
2018-02-25,17,False
2018-03-04,72,False
2018-03-11,34,False
2018-03-18,31,False
2018-03-25,11,False
2018-04-01,32,False
2018-04-08,28,False
2018-04-15,17,False
2018-04-22,11,False
2018-04-29,11,False
2018-05-06,18,False
2018-05-13,11,False
2018-05-20,35,False
2018-05-27,60,False
2018-06-03,42,False
2018-06-10,24,False
2018-06-17,14,False
2018-06-24,0,False
2018-07-01,3,False
2018-07-08,7,False
2018-07-15,11,False
2018-07-22,32,False
2018-07-29,7,False
2018-08-05,21,False
2018-08-12,21,False
2018-08-19,42,False
2018-08-26,77,False
2018-09-02,76,False
2018-09-09,37,False
2018-09-16,41,False
2018-09-23,37,False
2018-09-30,14,False
2018-10-07,34,False
2018-10-14,31,False
2018-10-21,10,False
2018-10-28,17,False
2018-11-04,23,False
2018-11-11,14,False
2018-11-18,21,False
2018-11-25,51,False
2018-12-02,27,False
2018-12-09,0,False
2018-12-16,14,False
2018-12-23,19,False
2018-12-30,26,False
2019-01-06,38,False
2019-01-13,40,False
2019-01-20,17,False
2019-01-27,20,False
2019-02-03,20,False
2019-02-10,10,False
2019-02-17,17,False
2019-02-24,23,False
2019-03-03,75,False
2019-03-10,27,False
2019-03-17,24,False
2019-03-24,7,False
2019-03-31,24,False
2019-04-07,24,False
2019-04-14,18,False
2019-04-21,3,False
2019-04-28,0,False
2019-05-05,17,False
2019-05-12,27,False
2019-05-19,10,False
2019-05-26,23,False
2019-06-02,10,False
2019-06-09,16,False
2019-06-16,20,False
2019-06-23,10,False
2019-06-30,3,False
2019-07-07,7,False
2019-07-14,7,False
2019-07-21,25,False
2019-07-28,10,False
2019-08-04,7,False
2019-08-11,30,False
2019-08-18,30,False
2019-08-25,36,False
2019-09-01,23,False
2019-09-08,6,False
2019-09-15,3,False
2019-09-22,19,False
2019-09-29,19,False
2019-10-06,16,False
2019-10-13,16,False
2019-10-20,25,False
2019-10-27,13,False
2019-11-03,25,False
2019-11-10,19,False
2019-11-17,9,False
2019-11-24,74,False
2019-12-01,53,False
2019-12-08,64,False
2019-12-15,29,False
2019-12-22,28,False
2019-12-29,26,False
2020-01-05,27,False
2020-01-12,35,False
2020-01-19,9,False
2020-01-26,39,False
2020-02-02,36,False
2020-02-09,3,False
2020-02-16,18,False
2020-02-23,20,False
2020-03-01,43,False
2020-03-08,31,False
2020-03-15,42,False
2020-03-22,43,False
2020-03-29,35,False
2020-04-05,17,False
2020-04-12,44,False
2020-04-19,24,False
2020-04-26,24,False
2020-05-03,38,False
2020-05-10,16,False
2020-05-17,38,False
2020-05-24,100,False
2020-05-31,51,False
2020-06-07,22,False
2020-06-14,22,False
2020-06-21,28,False
2020-06-28,20,False
2020-07-05,41,False
2020-07-12,38,False
2020-07-19,30,False
2020-07-26,18,False
2020-08-02,12,False
2020-08-09,15,False
2020-08-16,46,False
2020-08-23,95,False
2020-08-30,45,False
2020-09-06,6,False
2020-09-13,31,False
2020-09-20,17,False
2020-09-27,14,False
2020-10-04,20,False
2020-10-11,15,False
2020-10-18,21,False
2020-10-25,21,False
2020-11-01,11,False
2020-11-08,21,False
2020-11-15,9,False
2020-11-22,48,False
2020-11-29,26,False
2020-12-06,21,False
2020-12-13,15,False
2020-12-20,10,False
2020-12-27,13,False
2021-01-03,15,False
2021-01-10,12,False
2021-01-17,18,False
2021-01-24,18,False
2021-01-31,12,False
2021-02-07,9,False
2021-02-14,15,False
2021-02-21,6,False
2021-02-28,24,False
2021-03-07,12,False
2021-03-14,31,False
2021-03-21,24,False
2021-03-28,19,False
2021-04-04,12,False
2021-04-11,15,False
2021-04-18,3,False
2021-04-25,9,False
2021-05-02,15,False
2021-05-09,3,False
2021-05-16,6,False
2021-05-23,37,False
2021-05-30,39,False
2021-06-06,36,False
2021-06-13,21,False
2021-06-20,31,False
2021-06-27,18,False
2021-07-04,9,False
2021-07-11,6,False
2021-07-18,13,False
2021-07-25,9,False
2021-08-01,9,False
2021-08-08,29,True
