date,FISV,isPartial
2016-08-21,14,False
2016-08-28,34,False
2016-09-04,0,False
2016-09-11,54,False
2016-09-18,59,False
2016-09-25,33,False
2016-10-02,6,False
2016-10-09,7,False
2016-10-16,19,False
2016-10-23,13,False
2016-10-30,7,False
2016-11-06,19,False
2016-11-13,13,False
2016-11-20,13,False
2016-11-27,12,False
2016-12-04,0,False
2016-12-11,19,False
2016-12-18,27,False
2016-12-25,20,False
2017-01-01,6,False
2017-01-08,6,False
2017-01-15,12,False
2017-01-22,36,False
2017-01-29,6,False
2017-02-05,24,False
2017-02-12,18,False
2017-02-19,18,False
2017-02-26,12,False
2017-03-05,11,False
2017-03-12,17,False
2017-03-19,12,False
2017-03-26,30,False
2017-04-02,24,False
2017-04-09,25,False
2017-04-16,18,False
2017-04-23,65,False
2017-04-30,36,False
2017-05-07,6,False
2017-05-14,25,False
2017-05-21,19,False
2017-05-28,19,False
2017-06-04,0,False
2017-06-11,6,False
2017-06-18,6,False
2017-06-25,0,False
2017-07-02,13,False
2017-07-09,13,False
2017-07-16,33,False
2017-07-23,19,False
2017-07-30,31,False
2017-08-06,43,False
2017-08-13,19,False
2017-08-20,18,False
2017-08-27,31,False
2017-09-03,25,False
2017-09-10,6,False
2017-09-17,12,False
2017-09-24,24,False
2017-10-01,30,False
2017-10-08,12,False
2017-10-15,12,False
2017-10-22,12,False
2017-10-29,48,False
2017-11-05,12,False
2017-11-12,0,False
2017-11-19,23,False
2017-11-26,11,False
2017-12-03,29,False
2017-12-10,23,False
2017-12-17,43,False
2017-12-24,13,False
2017-12-31,12,False
2018-01-07,46,False
2018-01-14,6,False
2018-01-21,22,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,28,False
2018-02-18,22,False
2018-02-25,16,False
2018-03-04,22,False
2018-03-11,11,False
2018-03-18,39,False
2018-03-25,17,False
2018-04-01,17,False
2018-04-08,23,False
2018-04-15,17,False
2018-04-22,23,False
2018-04-29,57,False
2018-05-06,28,False
2018-05-13,11,False
2018-05-20,6,False
2018-05-27,6,False
2018-06-03,11,False
2018-06-10,22,False
2018-06-17,0,False
2018-06-24,11,False
2018-07-01,11,False
2018-07-08,67,False
2018-07-15,23,False
2018-07-22,40,False
2018-07-29,28,False
2018-08-05,6,False
2018-08-12,6,False
2018-08-19,23,False
2018-08-26,23,False
2018-09-02,39,False
2018-09-09,38,False
2018-09-16,33,False
2018-09-23,38,False
2018-09-30,16,False
2018-10-07,17,False
2018-10-14,22,False
2018-10-21,33,False
2018-10-28,28,False
2018-11-04,38,False
2018-11-11,17,False
2018-11-18,11,False
2018-11-25,16,False
2018-12-02,28,False
2018-12-09,11,False
2018-12-16,23,False
2018-12-23,19,False
2018-12-30,12,False
2019-01-06,39,False
2019-01-13,65,False
2019-01-20,43,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,22,False
2019-02-17,38,False
2019-02-24,21,False
2019-03-03,16,False
2019-03-10,27,False
2019-03-17,27,False
2019-03-24,27,False
2019-03-31,33,False
2019-04-07,33,False
2019-04-14,6,False
2019-04-21,6,False
2019-04-28,50,False
2019-05-05,5,False
2019-05-12,11,False
2019-05-19,27,False
2019-05-26,16,False
2019-06-02,27,False
2019-06-09,27,False
2019-06-16,16,False
2019-06-23,22,False
2019-06-30,27,False
2019-07-07,22,False
2019-07-14,17,False
2019-07-21,74,False
2019-07-28,100,False
2019-08-04,67,False
2019-08-11,38,False
2019-08-18,32,False
2019-08-25,27,False
2019-09-01,11,False
2019-09-08,47,False
2019-09-15,47,False
2019-09-22,36,False
2019-09-29,57,False
2019-10-06,46,False
2019-10-13,36,False
2019-10-20,30,False
2019-10-27,26,False
2019-11-03,91,False
2019-11-10,45,False
2019-11-17,15,False
2019-11-24,25,False
2019-12-01,30,False
2019-12-08,10,False
2019-12-15,72,False
2019-12-22,28,False
2019-12-29,21,False
2020-01-05,39,False
2020-01-12,57,False
2020-01-19,54,False
2020-01-26,24,False
2020-02-02,34,False
2020-02-09,52,False
2020-02-16,48,False
2020-02-23,56,False
2020-03-01,42,False
2020-03-08,41,False
2020-03-15,45,False
2020-03-22,44,False
2020-03-29,48,False
2020-04-05,71,False
2020-04-12,48,False
2020-04-19,30,False
2020-04-26,52,False
2020-05-03,95,False
2020-05-10,80,False
2020-05-17,44,False
2020-05-24,45,False
2020-05-31,79,False
2020-06-07,67,False
2020-06-14,40,False
2020-06-21,41,False
2020-06-28,23,False
2020-07-05,47,False
2020-07-12,57,False
2020-07-19,24,False
2020-07-26,49,False
2020-08-02,95,False
2020-08-09,52,False
2020-08-16,66,False
2020-08-23,70,False
2020-08-30,46,False
2020-09-06,18,False
2020-09-13,55,False
2020-09-20,32,False
2020-09-27,42,False
2020-10-04,37,False
2020-10-11,35,False
2020-10-18,29,False
2020-10-25,20,False
2020-11-01,41,False
2020-11-08,44,False
2020-11-15,29,False
2020-11-22,15,False
2020-11-29,24,False
2020-12-06,34,False
2020-12-13,19,False
2020-12-20,48,False
2020-12-27,5,False
2021-01-03,43,False
2021-01-10,44,False
2021-01-17,29,False
2021-01-24,58,False
2021-01-31,92,False
2021-02-07,81,False
2021-02-14,63,False
2021-02-21,38,False
2021-02-28,48,False
2021-03-07,58,False
2021-03-14,32,False
2021-03-21,24,False
2021-03-28,35,False
2021-04-04,24,False
2021-04-11,10,False
2021-04-18,29,False
2021-04-25,62,False
2021-05-02,48,False
2021-05-09,25,False
2021-05-16,29,False
2021-05-23,5,False
2021-05-30,34,False
2021-06-06,39,False
2021-06-13,30,False
2021-06-20,25,False
2021-06-27,15,False
2021-07-04,20,False
2021-07-11,20,False
2021-07-18,31,False
2021-07-25,40,False
2021-08-01,25,False
2021-08-08,29,True
